day,h,t,rh,ws,wd,vis
2021-04-06,3,7.6,53.6,1.0,50.0,10.0
2021-04-06,6,8.1,51.1,0.0,0.0,10.0
2021-04-06,9,11.4,53.5,0.0,0.0,5.0
2021-04-06,12,17.6,44.3,4.0,270.0,4.5
2021-04-06,15,19.7,35.2,4.0,320.0,10.0
2021-04-06,18,18.1,34.7,3.0,320.0,10.0
2021-04-06,21,11.5,52.4,4.0,270.0,10.0
2021-04-07,0,11.3,43.4,3.0,320.0,10.0
2021-04-07,3,9.9,54.3,5.0,320.0,10.0
2021-04-07,6,9.3,51.4,2.0,360.0,10.0
2021-04-07,9,12.7,57.8,1.0,270.0,4.5
2021-04-07,12,18.3,37.6,2.0,230.0,10.0
2021-04-07,15,20.2,33.4,3.0,230.0,10.0
2021-04-07,18,17.4,35.8,4.0,320.0,10.0
2021-04-07,21,12.1,34.7,3.0,320.0,10.0
2021-04-08,0,11.5,35.3,2.0,360.0,10.0
2021-04-08,3,7.1,43.7,2.0,230.0,10.0
2021-04-08,6,8.9,40.5,1.0,50.0,10.0
2021-04-08,9,10.7,43.5,0.0,0.0,15.0
2021-04-08,12,15.4,34.4,2.0,50.0,15.0
2021-04-08,15,16.2,31.5,6.0,50.0,15.0
2021-04-08,18,15.4,34.4,4.0,320.0,15.0
2021-04-08,21,11.3,30.6,4.0,360.0,10.0
2021-04-09,0,7.5,36.6,1.0,360.0,10.0
2021-04-09,3,7.9,41.4,1.0,140.0,10.0
2021-04-09,6,9.9,34.6,1.0,320.0,10.0
2021-04-09,9,12.6,35.6,3.0,180.0,15.0
2021-04-09,12,14.9,37.7,2.0,140.0,15.0
2021-04-09,15,16.7,32.6,0.0,0.0,15.0
2021-04-09,18,15.5,34.2,2.0,180.0,12.0
2021-04-09,21,11.6,41.6,2.0,360.0,10.0
2021-04-10,0,10.3,50.2,2.0,360.0,10.0
2021-04-10,3,10.9,47.6,3.0,90.0,10.0
2021-04-10,6,9.4,66.1,1.0,90.0,10.0
2021-04-10,9,11.4,59.9,1.0,140.0,10.0
2021-04-10,12,13.1,64.2,4.0,230.0,10.0
2021-04-10,15,15.1,64.2,2.0,360.0,12.0
2021-04-10,18,14.5,54.0,3.0,270.0,12.0
2021-04-10,21,10.9,75.3,2.0,320.0,10.0
2021-04-11,0,9.4,79.8,0.0,0.0,10.0
2021-04-11,3,7.9,82.5,0.0,0.0,10.0
2021-04-11,6,7.9,82.5,0.0,0.0,10.0
2021-04-11,9,10.4,83.3,0.0,0.0,4.5
2021-04-11,12,15.1,66.9,2.0,180.0,10.0
2021-04-11,15,17.2,33.2,1.0,230.0,15.0
2021-04-11,18,16.7,33.1,1.0,180.0,12.0
2021-04-11,21,14.4,28.6,0.0,0.0,10.0
2021-04-12,0,13.3,41.8,0.0,0.0,10.0
2021-04-12,3,13.1,45.8,0.0,0.0,10.0
2021-04-12,6,12.5,59.4,0.0,0.0,10.0
2021-04-12,9,13.3,41.8,2.0,180.0,10.0
2021-04-12,12,16.1,47.0,5.0,90.0,10.0
2021-04-12,15,12.1,87.6,6.0,140.0,4.5
2021-04-12,18,10.9,91.1,7.0,90.0,4.5
2021-04-12,21,11.8,91.7,5.0,90.0,4.5
2021-04-13,0,11.8,88.7,1.0,90.0,4.5
2021-04-13,3,11.4,89.9,3.0,360.0,10.0
2021-04-13,6,9.7,83.3,6.0,320.0,10.0
2021-04-13,9,7.9,80.7,5.0,320.0,12.0
2021-04-13,12,9.2,63.8,5.0,270.0,15.0
2021-04-13,15,10.1,47.0,6.0,360.0,10.0
2021-04-13,18,8.5,46.9,6.0,320.0,15.0
2021-04-13,21,5.5,51.1,2.0,320.0,15.0
2021-04-14,0,3.7,62.9,2.0,320.0,10.0
2021-04-14,3,3.7,58.8,2.0,320.0,10.0
2021-04-14,6,2.9,62.3,0.0,0.0,10.0
2021-04-14,9,6.5,54.9,0.0,0.0,15.0
2021-04-14,12,12.1,37.7,3.0,270.0,15.0
2021-04-14,15,13.3,35.3,5.0,320.0,15.0
2021-04-14,18,12.8,39.9,4.0,320.0,15.0
2021-04-14,21,8.6,68.8,2.0,320.0,10.0
2021-04-15,0,7.7,63.9,1.0,360.0,10.0
2021-04-15,3,5.9,78.8,2.0,140.0,10.0
2021-04-15,6,5.9,87.0,3.0,140.0,4.5
2021-04-15,9,9.5,81.5,1.0,140.0,10.0
2021-04-15,12,11.9,79.7,3.0,140.0,12.0
2021-04-15,15,11.3,73.8,3.0,180.0,12.0
2021-04-15,18,11.7,65.2,2.0,140.0,12.0
2021-04-15,21,8.9,69.4,2.0,140.0,10.0
2021-04-16,0,7.9,67.7,1.0,90.0,10.0
2021-04-16,3,8.8,74.4,3.0,140.0,10.0
2021-04-16,6,9.7,80.4,0.0,0.0,4.3
2021-04-16,9,10.2,89.2,2.0,230.0,10.0
2021-04-16,12,14.5,65.4,5.0,270.0,12.0
2021-04-16,15,15.4,37.8,5.0,270.0,15.0
2021-04-16,18,13.9,36.6,5.0,320.0,12.0
2021-04-16,21,10.1,37.3,2.0,320.0,10.0
2021-04-17,0,8.0,53.0,2.0,360.0,10.0
2021-04-17,3,6.9,73.5,0.0,0.0,10.0
2021-04-17,6,7.9,66.7,1.0,50.0,10.0
2021-04-17,9,9.9,61.7,1.0,180.0,10.0
2021-04-17,12,13.0,57.4,3.0,230.0,10.0
2021-04-17,15,13.7,29.4,9.0,320.0,10.0
2021-04-17,18,11.3,37.4,5.0,320.0,15.0
2021-04-17,21,8.4,51.5,4.0,360.0,10.0
2021-04-18,0,6.3,74.5,3.0,320.0,10.0
2021-04-18,3,6.3,74.5,3.0,320.0,10.0
2021-04-18,6,6.5,72.4,3.0,320.0,10.0
2021-04-18,9,9.3,62.4,2.0,320.0,15.0
2021-04-18,12,13.8,44.4,3.0,320.0,15.0
2021-04-18,15,16.3,38.9,5.0,360.0,15.0
2021-04-18,18,16.1,33.9,6.0,320.0,15.0
2021-04-18,21,9.9,54.3,3.0,320.0,10.0
2021-04-19,0,8.4,54.6,2.0,320.0,10.0
2021-04-19,3,7.9,65.8,1.0,360.0,10.0
2021-04-19,6,6.3,73.4,0.0,0.0,10.0
2021-04-19,9,11.4,74.3,0.0,0.0,12.0
2021-04-19,12,13.9,68.0,1.0,140.0,12.0
2021-04-19,15,15.3,64.3,3.0,140.0,10.0
2021-04-19,18,14.2,76.3,4.0,50.0,10.0
2021-04-19,21,11.9,79.7,0.0,0.0,10.0
2021-04-20,0,9.4,91.0,1.0,140.0,10.0
2021-04-20,3,8.9,90.3,2.0,140.0,10.0
2021-04-20,6,8.9,92.2,1.0,140.0,4.5
2021-04-20,9,11.1,86.9,2.0,90.0,4.5
2021-04-20,12,14.3,75.3,3.0,140.0,10.0
2021-04-20,15,15.5,57.3,2.0,180.0,12.0
2021-04-20,18,15.7,58.9,1.0,140.0,10.0
2021-04-20,21,13.4,74.7,0.0,0.0,10.0
2021-04-21,0,12.1,76.0,0.0,0.0,10.0
